//************************************************
// File Format Version 3.1
// Janus Release 2.2.10
// Acquisition Mode: Timing
// Energy Histogram Channels: 4096
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Aug 25 18:02:14 2022 UTC
//************************************************
       Tstamp_us        TrgID   Brd  Ch   ToA_LSB   ToT_LSB
         136.792            0    00  00       24      283 
         336.792            0    00  00       23      283 
         536.792            0    00  00       24      282 
         736.792            0    00  00       24      283 
         936.792            0    00  00       23      283 
        1136.784            0    00  00       24      284 
        1336.784            0    00  00       23      283 
        1536.784            0    00  00       24      282 
        1736.784            0    00  00       23      283 
        1936.784            0    00  00       22      284 
        2136.784            0    00  00       23      284 
        2336.776            0    00  00       24      283 
        2536.776            0    00  00       24      282 
        2736.776            0    00  00       24      283 
        2936.776            0    00  00       23      283 
        3136.776            0    00  00       24      283 
        3336.776            0    00  00       23      284 
        3536.776            0    00  00       23      282 
        3736.768            0    00  00       23      284 
        3936.768            0    00  00       23      284 
        4136.768            0    00  00       23      283 
        4336.768            0    00  00       24      287 
        4536.768            0    00  00       23      283 
        4736.768            0    00  00       24      284 
        4936.760            0    00  00       23      284 
        5136.760            0    00  00       23      284 
        5336.760            0    00  00       24      283 
        5536.760            0    00  00       24      283 
        5736.760            0    00  00       23      283 
        5936.760            0    00  00       24      283 
        6136.752            0    00  00       23      284 
        6336.752            0    00  00       24      283 
        6536.752            0    00  00       23      284 
        6736.752            0    00  00       23      284 
        6936.752            0    00  00       24      284 
        7136.752            0    00  00       24      284 
        7336.752            0    00  00       24      282 
        7536.744            0    00  00       24      283 
        7736.744            0    00  00       23      284 
        7936.744            0    00  00       24      283 
        8136.744            0    00  00       24      283 
        8336.744            0    00  00       23      282 
        8536.744            0    00  00       23      284 
        8736.736            0    00  00       24      284 
        8936.736            0    00  00       24      283 
        9136.736            0    00  00       24      283 
        9336.736            0    00  00       23      284 
        9536.736            0    00  00       24      284 
        9736.736            0    00  00       23      283 
        9936.736            0    00  00       23      284 
       10136.728            0    00  00       24      283 
       10336.728            0    00  00       24      283 
       10536.728            0    00  00       23      283 
       10736.728            0    00  00       24      283 
       10936.728            0    00  00       24      283 
       11136.728            0    00  00       24      284 
       11336.720            0    00  00       23      284 
       11536.720            0    00  00       23      284 
       11736.720            0    00  00       23      283 
       11936.720            0    00  00       24      284 
       12136.720            0    00  00       24      284 
       12336.720            0    00  00       24      283 
       12536.712            0    00  00       23      284 
       12736.712            0    00  00       23      284 
       12936.712            0    00  00       23      284 
       13136.712            0    00  00       23      283 
       13336.712            0    00  00       24      284 
       13536.712            0    00  00       24      283 
       13736.712            0    00  00       24      284 
       13936.704            0    00  00       24      283 
       14136.704            0    00  00       23      283 
       14336.704            0    00  00       23      282 
       14536.704            0    00  00       24      286 
       14736.704            0    00  00       23      283 
       14936.704            0    00  00       24      283 
       15136.696            0    00  00       24      283 
       15336.696            0    00  00       24      284 
       15536.696            0    00  00       24      283 
       15736.696            0    00  00       23      282 
       15936.696            0    00  00       23      284 
       16136.696            0    00  00       23      284 
       16336.696            0    00  00       23      283 
       16536.688            0    00  00       24      283 
       16736.688            0    00  00       24      283 
       16936.688            0    00  00       24      283 
       17136.688            0    00  00       24      282 
       17336.688            0    00  00       23      283 
       17536.688            0    00  00       23      290 
       17736.680            0    00  00       23      284 
       17936.680            0    00  00       23      283 
       18136.680            0    00  00       24      283 
       18336.680            0    00  00       24      283 
       18536.680            0    00  00       24      284 
       18736.680            0    00  00       24      284 
       18936.680            0    00  00       23      284 
       19136.672            0    00  00       23      284 
       19336.672            0    00  00       24      284 
       19536.672            0    00  00       23      284 
       19736.672            0    00  00       24      284 
       19936.672            0    00  00       24      284 
       20136.672            0    00  00       24      284 
       20336.664            0    00  00       23      284 
       20536.664            0    00  00       22      284 
       20736.664            0    00  00       23      284 
       20936.664            0    00  00       24      283 
       21136.664            0    00  00       23      284 
       21336.664            0    00  00       24      283 
       21536.656            0    00  00       23      284 
       21736.656            0    00  00       24      285 
       21936.656            0    00  00       23      283 
       22136.656            0    00  00       23      284 
       22336.656            0    00  00       23      284 
       22536.656            0    00  00       24      283 
       22736.656            0    00  00       23      284 
       22936.648            0    00  00       24      283 
       23136.648            0    00  00       23      284 
       23336.648            0    00  00       24      284 
       23536.648            0    00  00       23      284 
       23736.648            0    00  00       22      284 
       23936.648            0    00  00       23      284 
       24136.640            0    00  00       24      283 
       24336.640            0    00  00       23      284 
       24536.640            0    00  00       24      283 
       24736.640            0    00  00       23      283 
       24936.640            0    00  00       24      282 
       25136.640            0    00  00       23      284 
       25336.640            0    00  00       23      283 
       25536.632            0    00  00       23      284 
       25736.632            0    00  00       24      284 
       25936.632            0    00  00       23      284 
       26136.632            0    00  00       24      284 
       26336.632            0    00  00       23      283 
       26536.632            0    00  00       24      284 
       26736.624            0    00  00       23      283 
       26936.624            0    00  00       23      283 
       27136.624            0    00  00       23      284 
       27336.624            0    00  00       24      283 
       27536.624            0    00  00       23      284 
       27736.624            0    00  00       24      284 
       27936.616            0    00  00       23      284 
       28136.616            0    00  00       24      282 
       28336.616            0    00  00       23      284 
       28536.616            0    00  00       23      282 
       28736.616            0    00  00       24      282 
       28936.616            0    00  00       24      284 
